id,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,Finance_1.id,Finance_1.member_id,Finance_1.loan_amnt,Finance_1.funded_amnt,Finance_1.funded_amnt_inv,Finance_1.term,Finance_1.int_rate,Finance_1.installment,Finance_1.grade,Finance_1.sub_grade,Finance_1.emp_title,Finance_1.emp_length,Finance_1.home_ownership,Finance_1.annual_inc,Finance_1.verification_status,Finance_1.issue_d,Finance_1.loan_status,Finance_1.pymnt_plan,Finance_1.desc,Finance_1.purpose,Finance_1.title,Finance_1.zip_code,Finance_1.addr_state,Finance_1.dti
1069742,0,01/01/01,0,NA,NA,8,0,7314,0.231,28,f,0,0,9460.000848,9460,9200,260,0,0,0,01/07/12,8061.1,,01/02/16,1069742,1304855,9200,9200,9200, 36 months,0.0603,280.01,A,A1,Network Interpreting Service,6 years,RENT,77385,Not Verified,01/12/11,Fully Paid,n,,debt_consolidation,lowerratemeanseasiertogetoutofdebt!,921xx,CA,9.86
1069283,0,01/11/06,0,NA,NA,7,0,7814,0.523,10,f,0,0,11726.32,11726.32,10000,1726.32,0,0,0,01/01/15,332.92,,01/04/16,1069283,1304166,10000,10000,10000, 36 months,0.1065,325.74,B,B2,Costco Wholesale Corp.,6 years,RENT,27000,Verified,01/12/11,Fully Paid,n,,other,Other Loan,104xx,NY,11.47
1068989,0,01/10/96,0,NA,NA,4,0,8940,0.748,13,f,0,0,14249.84001,14249.84,11800,2449.84,0,0,0,01/01/15,419.36,,01/12/14,1068989,1282013,11800,11800,11800, 36 months,0.1269,395.83,B,B5,Koi Restaurant,6 years,RENT,42000,Source Verified,01/12/11,Fully Paid,n, Loan for refinancing credit cards and finishing off all credit card debt.<br>  Borrower added on 12/17/11 > I expect to fully pay off the loan in under the stated term of 3 years.<br>,credit_card,Credit Card Refinancing,114xx,NY,9.86
57416,0,01/12/96,1,58,NA,14,0,3511,0.256,40,f,0,0,13207.7633,13073.71,10800,2407.76,0,0,0,01/11/12,398,,01/05/16,57416,139635,10800,10800,10691.55105, 36 months,0.1357,366.86,C,C3,State Farm Insurance,6 years,RENT,32000,Not Verified,01/11/09,Fully Paid,n,I currently have a personal loan with Citifinancial that I have a high interest rate on I need 7000 to pay this off.  I also have 3 other creidit cards I would like to pay off with this loan to get this into one easy payment.  139635 added on 11/04/09 > Having one monthly payment will be a lot easier instead of making multiple payments to different companies.  I have paid all of my bills on time<br/>,debt_consolidation,Nicolechr1978,067xx,CT,11.63
1068934,0,01/05/06,1,NA,NA,5,0,10724,0.589,6,f,0,0,13227.10001,13190.15,8950,4277.1,0,0,0,01/02/16,2487.58,,01/01/16,1068934,1277395,17500,8950,8925, 60 months,0.1727,223.74,D,D3,,6 years,RENT,40000,Verified,01/12/11,Fully Paid,n,"  Borrower added on 11/28/11 > Thanks.<br> Borrower added on 12/05/11 > Hello,<br>I am in need of the money to purchase a tractor for my new business. I have a signed contract for guaranteed income for the next 5 years. Just need some extra support to get started. I appreciate the assistance.<br><br> Borrower added on 11/28/11 > Thanks.<br> Borrower added on 12/05/11 > Hello,<br>I am in need of the money to purchase a tractor for my new business. I have a signed contract for guaranteed income for the next 5 years. Just need some extra support to get started. I appreciate the assistance.<br>",small_business,Start Up,951xx,CA,19.47
1068575,0,01/02/84,2,56,NA,14,0,26524,0.897,27,f,3126,3121,21988.2,21952.28,12174.21,9813.99,0,0,0,01/05/16,423.1,42522,01/05/16,1068575,1303001,15300,15300,15275, 60 months,0.2206,423.1,F,F4,OSSI,6 years,RENT,85000,Verified,01/12/11,Current,n,,credit_card,Consolidation,226xx,VA,20.58
1068159,0,01/08/00,0,NA,NA,8,0,9051,0.348,32,f,0,0,40009.00999,40009.01,35000,5009.01,0,0,0,01/01/15,1123.85,,01/03/16,1068159,1302729,35000,35000,35000, 36 months,0.089,1111.37,A,A5,City of Los Angeles,6 years,MORTGAGE,125000,Verified,01/12/11,Fully Paid,n,  Borrower added on 12/13/11 > The purpose of this loan is to consolidate my high interest loans/credit cards into a lower payment/rate.  My goal is to be debt free in three years.<br> Borrower added on 12/14/11 > I have been in the same field for many years and do not have any negatives or late payments on my credit record. I appreciate your faith in investing in me. I will not let you down.  Thank you for your  consideration.<br>,debt_consolidation,Debt Consolidation,928xx,CA,22.71
1068078,2,01/03/00,0,9,NA,12,0,11739,0.405,22,f,0,0,7000.232528,7000.23,6000,1000.23,0,0,0,01/07/14,1335.92,,01/05/16,1068078,1302434,6000,6000,6000, 36 months,0.1065,195.44,B,B2,Medin Corporation,6 years,MORTGAGE,87000,Not Verified,01/12/11,Fully Paid,n,  Borrower added on 12/13/11 > Discovered when hanging christmas lights that my house needs a roof<br>,home_improvement,Roof,074xx,NJ,12.86
1066706,0,01/12/90,0,NA,NA,12,0,22087,0.898,35,f,0,0,45755.22998,43294.39,29500,16255.23,0,0,0,01/10/15,9781.44,,01/05/16,1066706,1300906,29500,29500,28513.45925, 60 months,0.203,786.51,E,E5,United States DHS,6 years,MORTGAGE,83000,Source Verified,01/12/11,Fully Paid,n,,debt_consolidation,debt consolidation ,880xx,NM,20.93
1066641,0,01/01/97,0,NA,NA,7,0,16627,0.796,18,f,0,0,8352.709998,8352.71,7200,1152.71,0,0,0,01/01/15,240.64,,01/05/16,1066641,1300833,7200,7200,7200, 36 months,0.0991,232.02,B,B1,New York Living Solutions,6 years,RENT,135000,Not Verified,01/12/11,Fully Paid,n,  Borrower added on 12/15/11 > This is a terrific business model. I wish everyone well this holiday season and happy investing.<br>,credit_card,Say goodbye to the rip-off banks,100xx,NY,6.12
